Afganistán | afgano | afgana | afganos | afganas
Albania | albanés | albanesa | albaneses | albanesas
Alemania | alemán | alemana | alemanes | alemanas
Andorra | andorrano | andorrana | andorranos | andorranas
Angola | angoleño | angoleña | angoleños | angoleñas
Antigua y Barbuda | antiguano | antiguana | antiguano­s | antiguana­s
Arabia Saudita | saudí | saudí | saudíes | saudíes
Argelia | argelino | argelina | argelinos | argelinas
Argentina | argentino | argentina | argentinos | argentinas
Armenia | armenio | armenia | armenios | armenias
Australia | australiano | australiana | australianos | australianas
Austria | austríaco | austríaca | austríacos | austríacas
Azerbaiyán | azerbaiyano | azerbaiyana | azerbaiyanos | azerbaiyanas
Bahamas | bahameño | bahameña | bahameños | bahameñas
Bangladés | bangladesí | bangladesí | bangladesíes | bangladesíes
Barbados | barbadense | barbadense | barbadenses | barbadenses
Baréin | bareiní | bareiní | bareiníes | bareiníes
Bélgica | belga | belga | belgas | belgas
Belice | beliceño | beliceña | beliceños | beliceñas
Benín | beninés | beninesa | benineses | beninesas
Bielorrusia | bielorruso | bielorrusa | bielorrusos | bielorrusas
Birmania (Myanmar) | birmano | birmana | birmanos | birmanas
Bolivia | boliviano | boliviana | bolivianos | bolivianas
Bosnia y Herzegovina | bosnio | bosnia | bosnios | bosnias
Botsuana | botsuano | botsuana | botsuanos | botsuanas
Brasil | brasileño | brasileña | brasileños | brasileñas
Brunéi | bruneano | bruneana | bruneanos | bruneanas
Bulgaria | búlgaro | búlgara | búlgaros | búlgaras
Burkina Faso | burkinés | burkinesa | burkineses | burkinesas
Burundi | burundés | burundesa | burundeses | burundesas
Cabo Verde | caboverdiano | caboverdiana | caboverdianos | caboverdianas
Camboya | camboyano | camboyana | camboyanos | camboyanas
Camerún | camerunés | camerunesa | cameruneses | camerunesas
Canadá | canadiense | canadiense | canadienses | canadienses
Chad | chadiano | chadiana | chadianos | chadianas
Chile | chileno | chilena | chilenos | chilenas
China | chino | china | chinos | chinas
Chipre | chipriota | chipriota | chipriotas | chipriotas
Colombia | colombiano | colombiana | colombianos | colombianas
Comoras | comorense | comorense | comorenses | comorenses
Congo | congoleño | congoleña | congoleños | congoleñas
Corea del Norte | norcoreano | norcoreana | norcoreanos | norcoreanas
Corea del Sur | surcoreano | surcoreana | surcoreanos | surcoreanas
Costa Rica | costarricense | costarricense | costarricenses | costarricenses
Costa de Marfil | marfileño | marfileña | marfileños | marfileñas
Croacia | croata | croata | croatas | croatas
Cuba | cubano | cubana | cubanos | cubanas
Dinamarca | danés | danesa | daneses | danesas
Dominica | dominiqués | dominiquesa | dominiqueses | dominiquesas
Ecuador | ecuatoriano | ecuatoriana | ecuatorianos | ecuatorianas
Egipto | egipcio | egipcia | egipcios | egipcias
El Salvador | salvadoreño | salvadoreña | salvadoreños | salvadoreñas
Emiratos Árabes Unidos | emiratí | emiratí | emiratíes | emiratíes
Eritrea | eritreo | eritrea | eritreos | eritreas
Eslovaquia | eslovaco | eslovaca | eslovacos | eslovacas
Eslovenia | esloveno | eslovena | eslovenos | eslovenas
